Product,Link,,Key Ingredients
Ashwagandha Capsules,https://kapiva.in/solution/daily-wellness/ashwagandha-gold-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Swarna Bhasma, Shilajit, Gokshura, Black Musli, Nagori Ashwagandha"
Brahmi Capsules,https://kapiva.in/de-stress-and-memory-boosting/kapiva-brahmi-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Brahmi
Moringa Capsules,https://kapiva.in/daily-wellness/moringa-capsule/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Moringa
Noni Juice,https://kapiva.in/detox/kapiva-noni-juice-1l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Shilajit Capsules,https://kapiva.in/mens-health/shilajit-gold-capsules-60-cap/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Shilajit, Nagori Ashwagandha, Safed Musli, Gokshura, Green Coffee Beans"
Ashwagandha + Destress Capsules,https://kapiva.in/solution/daily-wellness/ashwagandha-gold-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Swarna Bhasma, Shilajit, Gokshura, Black Musli, Nagori Ashwagandha"
Curcumin + Anti-Allergy Capsules,https://kapiva.in/immunity/kapiva-curcumin-giloy-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Garcinia + Slimming Capsules,https://kapiva.in/weight-loss/kapiva-garcinia-slimming-capsules/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Garcina, Green Coffee Beans"
Milk Thistle + Anti-Aging Capsules,https://kapiva.in/skin-hair/kapiva-milk-thistle-anti-aging-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Turmeric
Neem Glow Capsules,https://kapiva.in/skin-hair/kapiva-neem-glow-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Neem, Turmeric"
